Gmt time,Open,High,Low,Close,Volume
10.05.2021 18:00:00.000,1.07812,1.07845,1.07800,1.07826,4566379882.8125
10.05.2021 19:00:00.000,1.07833,1.07854,1.07778,1.07804,5625049804.6875
10.05.2021 20:00:00.000,1.07805,1.07834,1.07738,1.07738,1732729980.4688
10.05.2021 21:00:00.000,1.07738,1.07845,1.07680,1.07797,908489990.2344
10.05.2021 22:00:00.000,1.07798,1.07866,1.07699,1.07847,1446939941.4063
10.05.2021 23:00:00.000,1.07847,1.07851,1.07796,1.07829,1323150024.4141
11.05.2021 00:00:00.000,1.07825,1.07867,1.07774,1.07859,3726639892.5781
11.05.2021 01:00:00.000,1.07859,1.07906,1.07782,1.07848,4940950195.3125
11.05.2021 02:00:00.000,1.07849,1.07904,1.07838,1.07870,3509590087.8906
11.05.2021 03:00:00.000,1.07869,1.07871,1.07813,1.07823,2307929931.6406
11.05.2021 04:00:00.000,1.07822,1.07836,1.07754,1.07759,1448430053.7109
11.05.2021 05:00:00.000,1.07758,1.07807,1.07745,1.07763,1844530029.2969
11.05.2021 06:00:00.000,1.07764,1.07823,1.07715,1.07819,4640759765.625
11.05.2021 07:00:00.000,1.07820,1.07893,1.07767,1.07862,5121490234.375
11.05.2021 08:00:00.000,1.07861,1.07884,1.07737,1.07777,3615110107.4219
11.05.2021 09:00:00.000,1.07781,1.07788,1.07686,1.07731,3041939941.4063
11.05.2021 10:00:00.000,1.07731,1.07777,1.07700,1.07738,3993550048.8281
11.05.2021 11:00:00.000,1.07736,1.07792,1.07713,1.07761,2820879882.8125
11.05.2021 12:00:00.000,1.07765,1.07809,1.07741,1.07741,3970790039.0625
11.05.2021 13:00:00.000,1.07742,1.07893,1.07729,1.07853,9572179687.5
11.05.2021 14:00:00.000,1.07853,1.07898,1.07781,1.07807,8293759765.625
11.05.2021 15:00:00.000,1.07808,1.07859,1.07765,1.07816,4973379882.8125
11.05.2021 16:00:00.000,1.07818,1.07828,1.07776,1.07812,3629820068.3594
